Componant,Description,Quantity,Manufacturer,Manufacturer Part Number ,Comment
"C1, C6, C9, C20, C41, C44, C63, C81, C82, C83","1uF, 16V, 0603, X7R, ±20%",10,-,-,Ceramic
"C2, C3, C4, C5, C7, C8, C10","2.7nF, 16V, 0603, ±2%",7,Panasonic,ECH-U1C272GX5,Acrylic resin film
"C11, C12, C13, C14, C15, C16, C45, C46, C51, C56, C61, C62, C68, C73","1uF, 16V, 0603, ±20%",14,Panasonic,ECP-U1C105MA5 ,Acrylic resin film
"C17, C18, C25, C33, C49, C58, C66, C75, C77, C78, C79, C80","100nF, 25V, 0603, X7R, ±20%",12,-,-,Ceramic
"C19, C42","680pF, 16V, 0603, ±2%",2,Panasonic,ECH-U1C681GX5,Acrylic resin film
"C21, C22, C39, C40","470nF, 16V, 0603, ±20%",4,Panasonic,ECP-U1C474MA5,Acrylic resin film
"C23, C24, C29, C30, C31, C32, C37, C38","22uF, 25V, 0805, X7R, ±20%",8,-,-,Ceramic
"C26, C34","22nF, 16V, 0603, X7R, ±20%",2,-,-,Ceramic
"C27, C35","18nF, 16V, 0603, X7R, ±20%",2,-,-,Ceramic
"C28, C36","2nF, 16V, 0603, X7R, ±20%",2,-,-,Ceramic
"C43, C64","47pF, 16V, 0603, X7R, ±20%",2,-,-,Ceramic
"C47, C60","10uF, 25V, ±20%",2,-,-,Electrolytic
"C48, C59, C76, C65","100uF, 25V, ±20%",4,-,-,Electrolytic
"C50, C57, C67, C75","1nF, 25V, ±20%",4,-,-,Ceramic
"C52, C53, C54, C55, C69, C70, C71, C72","220nF, 16V, 0603, X7R, ±20%",8,-,-,Ceramic
"D2, D3",AVX Schottky diode,2,KYOCERA,SD2114S040S8R0,-
E1,MHF4 connector,1,Linx Technologies,CONMHF4-SMD-G-T ,-
"L1, L2","3.3uH, 12A power inductor",2,Bourns,SRP7028A-3R3M,Must have a saturation current of no less than 8A
"L3, L4, L5, L6","6.8uH, 4.0A power inductor",4,Eaton,HCM1A0503V2-6R8-R ,Must have a saturation current of no less than 4A
"Q1, Q2, Q3, Q4",General purpose NPN transistors,2,-,2N3904,-
"R1, R2, R4, R9, R10, R11, R13, R14, R15","0603, 20KΩ, ±1%",9,-,-,Film
"R3, R28, R29, R30, R31, R37, R39, R45, R46, R47, R48, R70","0603, 10KΩ, ±1%",12,-,-,Film
"R5, R12, R16","0603, 56KΩ, ±1%",3,-,-,Film
R6,"0603, 190KΩ, ±1%",1,-,-,Film
"R7, R8","0603, 100Ω, ±1%",2,-,-,Film
"R17, R18, R19, R20, R21, R22, R23, R24, R27, R49","0603, 59KΩ, ±1%",10,-,-,Film
"R25, R26, R56, R59","0603, 1KΩ, ±1%",4,-,-,Film
"R32, R44","0603, 82KΩ, ±1%",2,-,-,Film
"R33, R34, R42, R43","0603, 120Ω, ±1%",4,-,-,Film
"R35, R40","0603, 39KΩ, ±1%",2,-,-,Film
"R36, R41","0603, 137KΩ, ±1%",2,-,-,Film
"R38, R71","0603, 1.6KΩ, ±1%",2,-,-,Film
"R50, R63","0603, 4.7KΩ, ±1%",2,-,-,Film
"R51, R52, R55, R58, R61, R62, R66","0603, 100KΩ, ±1%",7,-,-,Film
"R53, R60","0603, 5.6KΩ, ±1%",2,-,-,Film
"R54, R57","0603, 4.7MΩ, ±1%",2,-,-,Film
"R64, R65, R69","0603, 0Ω, ±1%",3,-,-,Film
R67,"0603, 12KΩ, ±1%",1,-,-,Film
R68,"0603, 160KΩ, ±1%",1,-,-,Film
T1,"10V, 500mA linear voltage regulator",1,Texas Instruments,UA78M10CKVURG3,-
T2,"5V, 500mA linear voltage regulator",1,Texas Instruments,UA78M05CKVURG3,-
"U1, U4, U5",1W mono class AB audio amplifiers,3,Maxim Integrated,MAX9716EUA+T,-
U2,Ultro low noise single audio opamp,1,Texas Instruments,OPA134UA,Can be replaced with TL071
U3,Ultro low noise quad audio opamps,1,Texas Instruments,OPA4134UA,Can be replaced with TL074
U6,CSR8675 Bluetooth module,1,"Shenzhen Huayang Xinke Electronics Co., Ltd",HY-BTM875-B,Requires ADK firmware to operate
U7,"3.3V, 100mA linear voltage regulator",1,ST Microelectronics,L78L33CD-TR ,-
"U8, U9",Switching boost converter,2,Texas Instruments,TPS55340PWPR,Must support at least 2.5A output current
"U10, U12",Ultro low noise dual audio opamps,2,Texas Instruments,OPA2134UA,Can be replaced with TL072
"U11, U13",Dual 30W audio power amplifier / 60W mono,2,Texas Instruments,TPA3128D2DAPR,-
CME0303,"3.3V, 0.75W DC-DC isolator",1,Murata,CME0303S3C,-
"CNTR, SUBL, SUBR, L, R",1x2 2.54mm JST socket,5,JST,XH2.54-2p,-
"SW-PWR, CHARGE, LEDS",1x4 2.54mm JST socket,3,JST,XH2.54-4p,-
